"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jun 27 18:00:27 GMT 2021","Sun Jun 27 18:00:27 GMT 2021","0","seleniumide-tests","test_login","TestLogin","","","test_login",""
"broken","Sun Jun 27 18:00:29 GMT 2021","Sun Jun 27 18:00:29 GMT 2021","0","seleniumide-tests","test_post","TestPost","","","test_post",""
"broken","Sun Jun 27 18:00:31 GMT 2021","Sun Jun 27 18:00:31 GMT 2021","0","seleniumide-tests","test_registration","TestRegistration","","","test_registration",""
