"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jul 24 08:55:32 GMT 2021","Sat Jul 24 08:55:32 GMT 2021","0","seleniumide-tests","test_post","TestPost","","","test_post",""
"broken","Sat Jul 24 08:55:34 GMT 2021","Sat Jul 24 08:55:34 GMT 2021","0","seleniumide-tests","test_registration","TestRegistration","","","test_registration",""
"passed","Sat Jul 24 08:55:35 GMT 2021","Sat Jul 24 08:55:42 GMT 2021","6517","tests","test_login_logout","","","","test_login_logout",""
